nuclide,Z,A,isomer_keV,isomer_u_keV,isomer_t_s,isomer_jp,gateway_keV,gateway_u_keV,dE_keV,gateway_jp,gateway_t_s,gateway_t_op,observed,multipole,p_release,p_return,p_unknown,beta,E_released_keV,leverage,gamma_GI_eV,width_kind,gJ,sigma_int_b_eV,doppler_fwhm_eV,sigma_eff_b,N_areal_cm2,thickness_cm,neec,atomic
187au,79,187,120.33,0.14,2.3,9/2(-),1498.3,0.5,1377.97,(5/2+),,,0,M2,1,0,0,2.12377,1498.3,1.08732,3.74277e-06,Weisskopf M2,0.6,0.00909009,1.23567,0.0069106,6.81361e+25,1362.72,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),1778.8,0.5,1658.47,(11/2-),,,0,M1,1.11022e-16,1,0,2.8122,1658.47,1,0.168142,Weisskopf M1,1.2,563.827,1.48721,356.144,9.98455e+20,0.0199691,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),1816.2,0.4,1695.87,(11/2-),,,0,M1,0.287654,0.712346,0,2.19884,1730.48,1.02041,0.179776,Weisskopf M1,1.2,576.542,1.52074,356.144,1.27697e+21,0.0255394,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),1842.77,0.2,1722.44,(5/2+),,,0,M2,1,0,0,1.75788,1842.77,1.06986,1.14213e-05,Weisskopf M2,0.6,0.0177534,1.54457,0.0107975,5.26848e+25,1053.7,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),1994.3,0.5,1873.97,(11/2-),,,0,M1,0,1,0,2.09898,1873.97,1,0.242573,Weisskopf M1,1.2,637.09,1.68045,356.144,1.33773e+21,0.0267545,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),1995.19,0.24,1874.86,(5/2-),,,0,E2,0.287654,0.712346,0,2.19884,1909.47,1.01846,0.0011903,Weisskopf E2,0.6,1.56161,1.68125,0.872549,5.21214e+23,10.4243,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2149.7,0.5,2029.37,(13/2-),,,0,E2,0,1,0,2.74783,2029.37,1,0.00176855,Weisskopf E2,1.4,4.62089,1.8198,2.38535,1.52566e+23,3.05133,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2180,0.5,2059.67,(9/2+),,,0,E1,1,0,0,2.75243,2180,1.05842,18.807,Weisskopf E1,1,34074.3,1.84698,17330.7,2.09636e+19,0.000419273,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2186.04,0.24,2065.71,,,,1,,0,1,0,1,2065.71,1,,unknown,1,,1.85239,,,,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2193.1,0.5,2072.77,(5/2+),,,0,M2,1,0,0,2.12377,2193.1,1.05805,2.88237e-05,Weisskopf M2,0.6,0.0309387,1.85872,0.0156365,3.0113e+25,602.261,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2201.84,0.24,2081.51,,,,1,,0,1,0,1,2081.51,1,,unknown,1,,1.86656,,,,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2237.57,0.2,2117.24,(13/2-),,,0,E2,0.000744605,0.999255,0,2.25149,2117.33,1.00004,0.00218606,Weisskopf E2,1.4,5.2475,1.8986,2.59638,1.71065e+23,3.42129,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2246.43,0.25,2126.1,(13/2-),,,0,E2,0.000961245,0.999039,0,2.6559,2126.22,1.00005,0.00223218,Weisskopf E2,1.4,5.31365,1.90655,2.61816,1.43811e+23,2.87622,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2268.12,0.2,2147.79,(13/2-),,,0,E2,0,1,0,2.39613,2147.79,1,0.00234839,Weisskopf E2,1.4,5.47794,1.926,2.67185,1.56199e+23,3.12397,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2291,0.6,2170.67,(11/2+),,,0,E1,1,0,0,3.44221,2291,1.05543,22.0145,Weisskopf E1,1.2,43092.8,1.94651,20796.9,1.3969e+19,0.000279379,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2300.33,0.16,2180,,,,1,,-2.22045e-16,1,0,1.37349,2180,1,,unknown,1,,1.95488,,,,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2313.5,0.4,2193.17,(13/2+),,,0,M2,0.00147118,0.998529,0,3.59594,2193.35,1.00008,3.82258e-05,Weisskopf M2,1.4,0.0855151,1.96669,0.0408468,6.80816e+24,136.163,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2327.87,0.23,2207.54,,,,1,,0,1,0,1.24766,2207.54,1,,unknown,1,,1.97958,,,,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2345.7,0.4,2225.37,(11/2+),,,0,E1,1,0,0,3.27061,2345.7,1.05407,23.721,Weisskopf E1,1.2,44178.7,1.99556,20796.9,1.47019e+19,0.000294037,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2365.3,0.5,2244.97,(13/2-),,,0,E2,0,1,0,2.08035,2244.97,1,0.00292997,Weisskopf E2,1.4,6.25566,2.01314,2.91911,1.6467e+23,3.2934,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2369,0.5,2248.67,(13/2+),,,0,M2,0.00189641,0.998104,0,3.81654,2248.9,1.0001,4.33135e-05,Weisskopf M2,1.4,0.0921729,2.01646,0.0429402,6.10191e+24,122.038,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2395.7,0.3,2275.37,(13/2+),,,0,M2,0,1,0,2.08035,2275.37,1,4.59468e-05,Weisskopf M2,1.4,0.0954953,2.0404,0.043966,1.09332e+25,218.664,0,0
187au,79,187,120.33,0.14,2.3,9/2(-),2471,0.5,2350.67,(11/2-),,,0,M1,0,1,0,2.626,2350.67,1,0.478772,Weisskopf M1,1.2,799.153,2.10793,356.144,1.06925e+21,0.021385,0,0
189au,79,189,247.25,0.16,275.4,11/2-,325.12,0.16,77.87,9/2-,1.9e-07,,1,M1,0,1,0,0.212766,77.87,1,2.40125e-09,measured,0.833333,0.00253641,0.0694582,0.0343041,1.3701e+26,2740.2,0,1
189au,79,189,247.25,0.16,275.4,11/2-,484.02,0.16,236.77,7/2-,1.5e-10,,1,E2,0.313478,0.686522,0,1.10827,314.278,1.32735,2.08811e-06,measured,0.666667,0.190859,0.211193,0.848952,1.06285e+24,21.2571,0,0
189au,79,189,247.25,0.16,275.4,11/2-,512.35,0.15,265.1,7/2+,,,0,M2,1,0,0,1.19124,512.35,1.93267,9.93399e-10,Weisskopf M2,0.666667,7.24296e-05,0.236463,0.000287742,2.91742e+27,58348.3,0,0
189au,79,189,247.25,0.16,275.4,11/2-,646.17,0.17,398.92,13/2-,,,0,M1,0,1,0,1.13553,398.92,1,0.00233998,Weisskopf M1,1.16667,131.853,0.355827,348.097,2.52988e+21,0.0505977,0,0
189au,79,189,247.25,0.16,275.4,11/2-,647.2,0.13,399.95,7/2+,,,0,M2,1,0,0,1.54485,647.2,1.6182,7.76432e-09,Weisskopf M2,0.666667,0.000248716,0.356746,0.000654931,9.88365e+26,19767.3,0,0
189au,79,189,247.25,0.16,275.4,11/2-,681.9,0.19,434.65,15/2-,,,1,E2,0,1,0,0.964599,434.65,1,8.0848e-07,Weisskopf E2,1.33333,0.0438563,0.387698,0.106265,9.75582e+24,195.116,0,0
189au,79,189,247.25,0.16,275.4,11/2-,712.7,0.18,465.45,11/2-,,,0,M1,0,1,0,1.14473,465.45,1,0.00371683,Weisskopf M1,1,131.865,0.41517,298.369,2.9278e+21,0.0585561,0,0
189au,79,189,247.25,0.16,275.4,11/2-,760.67,0.18,513.42,9/2+,,,0,E1,1,0,0,1.77447,760.67,1.48157,0.293376,Weisskopf E1,0.833333,7128.56,0.457959,14622.6,3.85394e+19,0.000770788,0,0
189au,79,189,247.25,0.16,275.4,11/2-,770.68,0.18,523.43,7/2-,,,0,E2,0,1,0,1.37408,523.43,1,2.04769e-06,Weisskopf E2,0.666667,0.0382965,0.466887,0.0770543,9.44475e+24,188.895,0,0
189au,79,189,247.25,0.16,275.4,11/2-,812.67,0.18,565.42,13/2-,,,1,M1,0,1,0,0.952381,565.42,1,0.00666296,Weisskopf M1,1.16667,186.885,0.504341,348.097,3.0164e+21,0.060328,0,0
189au,79,189,247.25,0.16,275.4,11/2-,847.89,0.19,600.64,9/2+,,,0,E1,1,0,0,1.91623,847.89,1.41164,0.469732,Weisskopf E1,0.833333,8339.56,0.535757,14622.6,3.56884e+19,0.000713768,0,0
189au,79,189,247.25,0.16,275.4,11/2-,862.04,0.18,614.79,9/2-,,,1,M1,0.187101,0.812899,0,1.55804,661.051,1.07525,0.00856513,Weisskopf M1,0.833333,145.145,0.548378,248.641,2.58137e+21,0.0516274,0,0
189au,79,189,247.25,0.16,275.4,11/2-,880.45,0.23,633.2,9/2-,,,1,M1,0.0618579,0.938142,0,1.41128,648.494,1.02415,0.00935786,Weisskopf M1,0.833333,149.491,0.5648,248.641,2.84979e+21,0.0569958,0,0
189au,79,189,247.25,0.16,275.4,11/2-,911.01,0.2,663.76,7/2-,,,0,E2,0,1,0,1.55226,663.76,1,6.7147e-06,Weisskopf E2,0.666667,0.0780937,0.592058,0.123909,5.19915e+24,103.983,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1097.03,0.21,849.78,13/2-,,,0,M1,0,1,0,1.86967,849.78,1,0.022619,Weisskopf M1,1.16667,280.873,0.757984,348.097,1.53651e+21,0.0307301,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1112.48,0.2,865.23,11/2+,,,0,E1,1,0,0,2.31373,1112.48,1.28576,1.40411,Weisskopf E1,1,14415.9,0.771765,17547.2,2.46309e+19,0.000492618,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1130.1,0.19,882.85,11/2-,,,1,M1,0.0145446,0.985455,0,2.02831,886.446,1.00407,0.0253638,Weisskopf M1,1,250.117,0.787482,298.369,1.65239e+21,0.0330478,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1133.52,0.22,886.27,9/2-,,,0,M1,0,1,0,2.16155,886.27,1,0.0256597,Weisskopf M1,0.833333,209.238,0.790532,248.641,1.86064e+21,0.0372127,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1145.7,0.22,898.45,13/2- 15/2-,,,1,,1.11022e-16,1,0,2.03548,898.45,1,,unknown,1,,0.801396,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1188.6,0.21,941.35,11/2-,,,1,M1,0.0733746,0.926625,0,1.49083,959.492,1.01927,0.0307473,Weisskopf M1,1,266.691,0.839662,298.369,2.24812e+21,0.0449624,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1273.14,0.25,1025.89,11/2-,,,1,M1,0.073533,0.926467,0,1.97456,1044.07,1.01772,0.0397975,Weisskopf M1,1,290.641,0.91507,298.369,1.69736e+21,0.0339473,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1295.5,0.3,1048.25,11/2-,,,1,M1,0.125821,0.874179,0,2.02644,1079.36,1.02968,0.0424569,Weisskopf M1,1,296.976,0.935014,298.369,1.65391e+21,0.0330782,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1298.87,0.16,1051.62,11/2+,,,0,E1,1,0,0,2.58519,1298.87,1.23511,2.52106,Weisskopf E1,1,17521.4,0.93802,17547.2,2.20445e+19,0.00044089,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1312.96,0.25,1065.71,13/2-,,,0,M1,0.0109899,0.98901,0,2.11435,1068.43,1.00255,0.044614,Weisskopf M1,1.16667,352.243,0.950588,348.097,1.3587e+21,0.0271739,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1352.6,0.3,1105.35,(15/2 13/2 11/2)-,,,1,,-2.22045e-16,1,0,1.74989,1105.35,1,,unknown,1,,0.985946,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1383.25,0.2,1136,13/2+,,,0,E1,0.00411032,0.99589,0,2.37422,1137.02,1.00089,3.17791,Weisskopf E1,1.16667,22081.8,1.01329,20471.7,2.05743e+19,0.000411487,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1459.97,0.2,1212.72,11/2+,,,1,E1,0,1,0,1.32541,1212.72,1,3.86624,Weisskopf E1,1,20205.5,1.08172,17547.2,4.29976e+19,0.000859952,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1481.6,0.4,1234.35,13/2-,,,0,M1,0.0284716,0.971528,0,2.05242,1241.39,1.0057,0.0693216,Weisskopf M1,1.16667,407.983,1.10101,348.097,1.3997e+21,0.0279939,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1483.4,0.3,1236.15,(7/2)+,,,0,M2,1,0,0,2.64053,1483.4,1.20002,2.18993e-06,Weisskopf M2,0.666667,0.00734345,1.10262,0.00625642,6.05318e+25,1210.64,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1523.4,0.4,1276.15,(-),,,1,,0,1,0,1.59913,1276.15,1,,unknown,1,,1.1383,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1534.79,0.19,1287.54,13/2+,,,1,E1,0.0972825,0.902717,0,2.02379,1311.59,1.01868,4.62689,Weisskopf E1,1.16667,25027.5,1.14846,20471.7,2.41369e+19,0.000482738,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1559.83,0.22,1312.58,-,,,1,,1.11022e-16,1,0,1.32632,1312.58,1,,unknown,1,,1.17079,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1654.2,0.3,1406.95,13/2- 15/2-,,,1,,0,1,0,1.82261,1406.95,1,,unknown,1,,1.25497,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1730.6,0.4,1483.35,,,,1,,0,1,0,1.28049,1483.35,1,,unknown,1,,1.32311,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1800.6,0.5,1553.35,(15/2+),,,0,M2,0.00188407,0.998116,0,3.22583,1553.82,1.0003,6.86154e-06,Weisskopf M2,1.33333,0.0291424,1.38555,0.0197584,1.56894e+25,313.788,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1935.02,0.2,1687.77,+,,,1,,0.0134581,0.986542,0,2.04066,1691.1,1.00197,,unknown,1,,1.50545,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,1939.02,0.2,1691.77,+,,,1,,0,1,0,1.44408,1691.77,1,,unknown,1,,1.50902,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2169.19,0.21,1921.94,(+),,,1,,0.0195879,0.980412,0,1.69933,1926.78,1.00252,,unknown,1,,1.71433,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2176.8,0.4,1929.55,,,,1,,0,1,0,1.23768,1929.55,1,,unknown,1,,1.72111,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2211.01,0.24,1963.76,+,,,1,,0,1,0,1.7342,1963.76,1,,unknown,1,,1.75163,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2240.94,0.2,1993.69,(+),,,1,,0.130781,0.869219,0,2.02566,2026.03,1.01622,,unknown,1,,1.77832,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2257.18,0.21,2009.93,(-),,,1,,0.0942193,0.905781,0,1.52405,2033.23,1.01159,,unknown,1,,1.79281,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2268.97,0.23,2021.72,,,,1,,0.0454545,0.954545,0,1.20799,2032.96,1.00556,,unknown,1,,1.80333,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2272.16,0.19,2024.91,+,,,1,,0.117023,0.882977,0,1.64009,2053.84,1.01429,,unknown,1,,1.80617,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2275.6,0.3,2028.35,+,,,1,,0.300677,0.699323,0,2.32519,2102.69,1.03665,,unknown,1,,1.80924,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2281,0.24,2033.75,,,,1,,0,1,0,1.17503,2033.75,1,,unknown,1,,1.81406,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2311.3,0.3,2064.05,,,,1,,0,1,0,1.1744,2064.05,1,,unknown,1,,1.84108,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2384.7,0.4,2137.45,,,,1,,0,1,0,1.45692,2137.45,1,,unknown,1,,1.90656,,,,0,0
189au,79,189,247.25,0.16,275.4,11/2-,2417.1,0.4,2169.85,,,,1,,0,1,0,1.75702,2169.85,1,,unknown,1,,1.93546,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,508.27,0.04,218.07,7/2-,2.9e-10,,1,E2,0.0188413,0.981159,0,0.800799,223.538,1.02507,1.54359e-06,measured,0.666667,0.166323,0.192487,0.811711,1.53842e+24,30.7684,0,0
193au,79,193,290.2,0.04,3.9,11/2-,538.99,0.04,248.79,(7/2+),,,0,M2,1,0,0,1.15024,538.99,2.16645,7.33336e-10,Weisskopf M2,0.666667,6.07085e-05,0.219603,0.000259694,3.34773e+27,66954.5,0,0
193au,79,193,290.2,0.04,3.9,11/2-,687.43,0.04,397.23,(7/2+),,,0,M2,1,0,0,1.59515,687.43,1.73056,7.60937e-09,Weisskopf M2,0.666667,0.000247102,0.350629,0.000662033,9.46932e+26,18938.6,0,0
193au,79,193,290.2,0.04,3.9,11/2-,697.81,0.05,407.61,(15/2)-,,,1,E2,0,1,0,0.958497,407.61,1,6.03007e-07,Weisskopf E2,1.33333,0.0371941,0.359791,0.0971124,1.07432e+25,214.864,0,0
193au,79,193,290.2,0.04,3.9,11/2-,789.94,0.05,499.74,9/2-,1.2e-09,,1,M1,0.0191552,0.980845,0,1.08101,505.299,1.01112,3.0024e-07,measured,0.833333,0.00770021,0.441113,0.0163985,5.64117e+25,1128.23,0,0
193au,79,193,290.2,0.04,3.9,11/2-,808.57,0.05,518.37,(9/2)+,,,0,E1,1,0,0,1.74803,808.57,1.55983,0.306189,Weisskopf E1,0.833333,7298.48,0.457557,14984.3,3.8178e+19,0.00076356,0,0
193au,79,193,290.2,0.04,3.9,11/2-,863.36,0.05,573.16,(13/2)-,,,1,M1,0,1,0,0.951026,573.16,1,0.00694035,Weisskopf M1,1.16667,189.443,0.50592,351.762,2.98923e+21,0.0597846,0,0
193au,79,193,290.2,0.04,3.9,11/2-,890.8,0.05,600.6,9/2-,,,1,M1,0.0100339,0.989966,0,1.33502,603.512,1.00485,0.00798564,Weisskopf M1,0.833333,141.795,0.530141,251.258,2.98121e+21,0.0596242,0,0
193au,79,193,290.2,0.04,3.9,11/2-,929.09,0.05,638.89,(9/2+),,,1,E1,0.924357,0.075643,0,2.06812,907.138,1.41987,0.573256,Weisskopf E1,0.833333,8995.36,0.563939,14984.3,3.22691e+19,0.000645382,0,0
193au,79,193,290.2,0.04,3.9,11/2-,983.59,0.11,693.39,(7/2+),,,0,M2,1,0,0,1.67821,983.59,1.41852,1.23318e-07,Weisskopf M2,0.666667,0.00131427,0.612045,0.00201721,2.95396e+26,5907.92,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1085.35,0.11,795.15,(7/2+),,,0,M2,0.54125,0.45875,0,1.84841,952.221,1.19754,2.44559e-07,Weisskopf M2,0.666667,0.00198197,0.701867,0.00265273,2.03943e+26,4078.86,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1105.92,0.12,815.72,(7/2+),,,0,M2,1,0,0,2.03136,1105.92,1.35576,2.77872e-07,Weisskopf M2,0.666667,0.0021398,0.720024,0.00279176,1.76334e+26,3526.68,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1106.4,0.5,816.2,(11/2-),,,0,M1,0.0191552,0.980845,0,1.92134,821.759,1.00681,0.0200421,Weisskopf M1,1,231.235,0.720447,301.51,1.72621e+21,0.0345242,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1153.53,0.06,863.33,(11/2+),,,0,E1,1,0,0,2.43505,1153.53,1.33614,1.41449,Weisskopf E1,1,14586.5,0.762048,17981.2,2.28388e+19,0.000456776,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1194.31,0.07,904.11,(13/2-),,,0,M1,0.0191552,0.980845,0,2.03868,909.669,1.00615,0.0272407,Weisskopf M1,1.16667,298.83,0.798044,351.762,1.39445e+21,0.027889,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1284.81,0.05,994.61,9/2- 11/2-,,,1,,0.00809352,0.991906,0,1.79273,996.959,1.00236,,unknown,1,,0.877927,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1330.9,0.14,1040.7,(9/2+),,,0,E1,0.980312,0.0196879,0,2.71795,1325.19,1.27336,2.47769,Weisskopf E1,0.833333,14652.7,0.91861,14984.3,2.4554e+19,0.00049108,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1379.93,0.1,1089.73,(11/2+),,,0,E1,1,0,0,2.52213,1379.93,1.2663,2.84464,Weisskopf E1,1,18411.6,0.961888,17981.2,2.20503e+19,0.000441006,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1398.51,0.06,1108.31,(13/2)-,,,0,M1,0.000737196,0.999263,0,1.9214,1108.52,1.00019,0.0501808,Weisskopf M1,1.16667,366.324,0.978288,351.762,1.47956e+21,0.0295913,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1400.39,0.05,1110.19,11/2-,,,1,M1,0.00220563,0.997794,0,1.82397,1110.83,1.00058,0.0504366,Weisskopf M1,1,314.524,0.979948,301.51,1.81837e+21,0.0363673,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1413.03,0.16,1122.83,(9/2-),,,0,M1,1,0,0,2.59515,1413.03,1.25845,0.052179,Weisskopf M1,0.833333,265.088,0.991105,251.258,1.53362e+21,0.0306723,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1476.98,0.21,1186.78,(13/2+),,,0,E1,1,0,0,2.74803,1476.98,1.24453,3.67436,Weisskopf E1,1.16667,23393.3,1.04755,20978.1,1.73465e+19,0.000346931,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1496.3,0.07,1206.1,(9/2)-,,,1,M1,0.0965669,0.903433,0,2.58892,1234.12,1.02323,0.0646701,Weisskopf M1,0.833333,284.747,1.06461,251.258,1.53731e+21,0.0307462,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1514.2,0.16,1224,(7/2-),,,0,E2,1,0,0,2.00514,1514.2,1.23709,0.000147233,Weisskopf E2,0.666667,0.503564,1.08041,0.437842,1.13904e+24,22.7807,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1521.9,1.1,1231.7,(15/2-),,,0,E2,0.0191552,0.980845,0,2.88177,1237.26,1.00451,0.000151923,Weisskopf E2,1.33333,1.02625,1.0872,0.886737,3.91332e+23,7.82664,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1575.62,0.06,1285.42,11/2- 13/2-,,,1,,0.00342161,0.996578,0,2.02592,1286.41,1.00077,,unknown,1,,1.13462,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1684.74,0.19,1394.54,(9/2- TO 13/2-),,,1,,0.000337679,0.999662,0,1.01605,1394.64,1.00007,,unknown,1,,1.23094,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1733.44,0.1,1443.24,(15/2-),,,0,E2,2.22045e-16,1,0,2.02456,1443.24,1,0.000335576,Weisskopf E2,1.33333,1.65103,1.27393,1.21748,4.05703e+23,8.11405,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1776.04,0.08,1485.84,11/2-,,,1,M1,0.0025038,0.997496,0,1.61339,1486.57,1.00049,0.120912,Weisskopf M1,1,420.948,1.31153,301.51,2.0557e+21,0.0411141,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1794.92,0.15,1504.72,(13/2-),,,0,M1,0.00514354,0.994856,0,2.44483,1506.21,1.00099,0.12558,Weisskopf M1,1.16667,497.347,1.32819,351.762,1.16279e+21,0.0232559,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1815.41,0.23,1525.21,(9/2- 11/2- 13/2-),,,1,,0.0003949,0.999605,0,1.09663,1525.32,1.00008,,unknown,1,,1.34628,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1829.91,0.06,1539.71,(11/2- 13/2-),,,1,,0.00512686,0.994873,0,2.52295,1541.2,1.00097,,unknown,1,,1.35908,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1869.28,0.17,1579.08,(11/2- TO 15/2-),,,1,,0,1,0,1.90645,1579.08,1,,unknown,1,,1.39383,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1876.29,0.17,1586.09,(11/2- 13/2-),,,1,,0.00152958,0.99847,0,1.7224,1586.53,1.00028,,unknown,1,,1.40002,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1915.2,0.17,1625,(11/2- TO 15/2-),,,1,,1.11022e-16,1,0,1.62184,1625,1,,unknown,1,,1.43436,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1930.03,0.06,1639.83,11/2- 13/2-,,,1,,0.00130804,0.998692,0,1.82922,1640.21,1.00023,,unknown,1,,1.44745,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,1939.2,0.11,1649,(11/2 13/2)-,,,1,,0.000295388,0.999705,0,1.71367,1649.09,1.00005,,unknown,1,,1.45555,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2012.2,0.17,1722,(13/2- 15/2-),,,1,,2.22045e-16,1,0,2.16977,1722,1,,unknown,1,,1.51998,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2125.37,0.19,1835.17,(11/2-),,,0,M1,0.294874,0.705126,0,2.42752,1920.74,1.04663,0.227815,Weisskopf M1,1,519.916,1.61988,301.51,1.36627e+21,0.0273254,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2157.63,0.16,1867.43,(11/2-),,,0,M1,0.158107,0.841893,0,2.49219,1913.31,1.02457,0.240042,Weisskopf M1,1,529.055,1.64835,301.51,1.33081e+21,0.0266163,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2159.03,0.09,1868.83,(11/2- TO 15/2-),,,1,,0.000556751,0.999443,0,1.89417,1868.99,1.00009,,unknown,1,,1.64959,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2196.88,0.2,1906.68,(11/2- 13/2 15/2-),,,1,,0.000144548,0.999855,0,2.00321,1906.72,1.00002,,unknown,1,,1.683,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2201.73,0.09,1911.53,(11/2-),,,0,M1,0.000916577,0.999083,0,2.16618,1911.8,1.00014,0.257453,Weisskopf M1,1,541.549,1.68728,301.51,1.5311e+21,0.030622,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2205.94,0.22,1915.74,(11/2-),,,1,M1,0.00376826,0.996232,0,1.16016,1916.83,1.00057,0.259157,Weisskopf M1,1,542.742,1.69099,301.51,2.85878e+21,0.0571756,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2215.2,0.17,1925,(13/2- 15/2-),,,1,,0,1,0,1.75957,1925,1,,unknown,1,,1.69917,,,,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2279.39,0.17,1989.19,(11/2-),,,1,M1,0.317707,0.682293,0,2.47162,2081.39,1.04635,0.290123,Weisskopf M1,1,563.551,1.75583,301.51,1.34189e+21,0.0268377,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2285.28,0.16,1995.08,(11/2+),,,0,E1,1,0,0,2.52987,2285.28,1.14546,17.4563,Weisskopf E1,1,33708.1,1.76103,17981.2,2.19828e+19,0.000439656,0,0
193au,79,193,290.2,0.04,3.9,11/2-,2291.01,0.16,2000.81,(11/2+),,,0,E1,0.807637,0.192363,0,2.64605,2235.19,1.11714,17.6071,Weisskopf E1,1,33804.9,1.76608,17981.2,2.10177e+19,0.000420353,0,0
