nuclide,Z,A,state_index,E_keV,t_half_s,lambda_m_per_s,Jpi,decay_modes
153Eum,63,153,1,1771.0,4.75e-07,1459257.2222314638,19/2-,IT=100
153Gdm,64,153,1,95.1737,3.5e-06,198042.0515885558,9/2+,IT=100
153Gdn,64,153,2,171.188,7.599999999999999e-05,9120.357638946649,(11/2-),IT=100
153Tbm,65,153,1,163.175,0.000186,3726.5977449459424,11/2-,IT=100
153Hom,67,153,1,68.7,558.0,0.001242199248315314,1/2+*,B+=99.82 8;A=0.18 8
153Hon,67,153,2,2772.3,2.2900000000000003e-07,3026843.583231202,31/2+,IT=100
153Erm,68,153,1,2798.2,3.73e-07,1858303.4331365824,(27/2-),IT=100
153Ern,68,153,2,5248.1,2.48e-07,2794948.308709457,(41/2-),IT=100
153Tmm,69,153,1,43.2,2.5,0.2772588722239781,(1/2+),A=92 3;B+=8 3
153Ybm,70,153,1,2630.0,1.4999999999999999e-05,46209.81203732969,27/2-,IT=100
153Lum,71,153,1,80.0,1.0,0.6931471805599453,1/2+,A ?;B+ ?;IT ?;p=0
153Lup,71,153,3,2632.9,1.4999999999999999e-05,46209.81203732969,27/2-,IT=100
153Hfm,72,153,1,750.0,0.5,1.3862943611198906,11/2-#,B+ ?;IT ?
154Ndm,60,154,1,1297.9,3.2e-06,216608.4939249829,(4-),IT=100
154Eum,63,154,1,68.1702,2.2e-06,315066.9002545206,2+,IT=100
154Eun,63,154,2,145.3,2778.0,0.00024951302395966355,(8-),IT=100
154Tbm,65,154,1,130.0,77400.0,8.955389929715056e-06,0-*,B+~100;IT ?;B- ?
154Tbn,65,154,2,200.0,81720.0,8.48197724620589e-06,7-,B+~100;IT ?
154Tbp,65,154,3,405.0,5.13e-07,1351164.0946587627,,IT=100
154Hom,67,154,1,243.0,186.0,0.0037265977449459425,8+*,B+=100;A<0.001;IT~0
154Tmm,69,154,1,70.0,3.3,0.2100446001696804,(9)+,A=58 5;B+=42 5;IT ?
154Lum,71,154,1,62.0,1.12,0.6188814112142368,(9+),B+~100;B+p=?;B+A=?;A ?
154Lun,71,154,2,2724.0,3.5e-05,19804.20515885558,(17+),IT=100
154Hfm,72,154,1,2721.0,9e-06,77016.35339554948,(10+),IT=100
155Smm,62,155,1,16.5467,2.8e-06,247552.56448569475,5/2+,IT=100
155Smn,62,155,2,538.03,1e-06,693147.1805599453,11/2-,IT=100
155Gdm,64,155,1,121.1,0.03197,21.681175494524407,11/2-,IT=100
155Dym,66,155,1,234.33,6e-06,115524.53009332421,11/2-,IT=100
155Hom,67,155,1,141.87,0.0008799999999999999,787.6672506363016,11/2-,IT=100
